Anio,Latitud,Longitud,Tipo_incendio,Tipo_impacto,Total_hectareas,Deteccion,Duracion
2016,32.474317,-117.1172083,Superficial,Impacto mínimo,3.5,0.013888889,0.395833333
2017,32.462944,-117.1028667,Superficial,Impacto mínimo,1,0.003472222,0.111111111
2017,32.4454,-117.1022389,Superficial,Impacto mínimo,0.5,0.006944444,0.131944444
2017,32.479917,-117.0857806,Superficial,Impacto mínimo,5,0.002083333,0.076388889
2019,32.4522,-117.0695389,Superficial,Impacto mínimo,580.6,0.006944444,2.21875
2017,32.420583,-117.05075,Superficial,Impacto mínimo,9,0.094444444,0.305555556
2017,32.430053,-117.0229056,Superficial,Impacto mínimo,4,0.013888889,0.083333333
2019,32.354069,-117.0185694,Superficial,Impacto mínimo,130.91,0.013888889,0.333333333
2019,32.350361,-117.0072778,Superficial,Impacto moderado,143.56,0.010416667,0.243055556
2017,32.425556,-117.0069444,Superficial,Impacto mínimo,10,0.004166667,0.191666667
2016,32.315972,-116.9848889,Superficial,Impacto mínimo,37,0.006944444,0.190972222
2017,32.399797,-116.9841722,Superficial,Impacto mínimo,100,0.006944444,0.416666667
2015,31.904028,-116.975,Superficial,Impacto mínimo,2,0.006944444,0.291666667
2017,32.452264,-116.9731833,Superficial,Impacto mínimo,103,0.017361111,0.100694444
2017,32.431939,-116.972725,Superficial,Impacto mínimo,10,0.010416667,0.222222222
2017,32.39,-116.9711111,Superficial,Impacto mínimo,150,0.008333333,0.098611111
2020,32.297464,-116.9565417,Superficial,Impacto mínimo,5341.24,0.008333333,4.994444444
2017,32.356833,-116.9551556,Superficial,Impacto mínimo,7,0.003472222,0.090277778
2017,32.39,-116.9472944,Superficial,Impacto mínimo,26,0.010416667,0.177083333
2017,32.373194,-116.9463333,Superficial,Impacto mínimo,6.5,0.06875,0.172916667
2016,32.360556,-116.9394444,Superficial,Impacto mínimo,2,0.006944444,0.263888889
2016,31.5336,-116.9352222,Superficial,Impacto mínimo,1,0.006944444,0.083333333
2016,32.26175,-116.9244722,Superficial,Impacto mínimo,15,0.003472222,0.291666667
2017,32.282056,-116.9241944,Superficial,Impacto mínimo,51,0.333333333,2.166666667
2016,31.868306,-116.9180278,Superficial,Impacto mínimo,15.5,0.006944444,0.28125
2016,32.376111,-116.9135556,Superficial,Impacto mínimo,50,0.0625,1.006944444
2020,32.243175,-116.9119778,Superficial,Impacto mínimo,4.59,0.005555556,0.173611111
2018,32.400139,-116.9116306,Superficial,Impacto mínimo,13.7,0.011805556,0.217361111
2017,32.267833,-116.9055833,Superficial,Impacto mínimo,2420,0.013888889,6.041666667
2017,32.449219,-116.9044028,Superficial,Impacto mínimo,9,0.022916667,0.173611111
2016,32.245217,-116.9036,Superficial,Impacto mínimo,80,0.007638889,0.520833333
2017,32.363028,-116.9031667,Superficial,Impacto mínimo,23,0.003472222,0.958333333
2019,32.407464,-116.9028639,Superficial,Impacto moderado,36.67,0.013888889,0.204861111
2018,32.409147,-116.897725,Superficial,Impacto mínimo,22.23,0.006944444,1.708333333
2016,32.162306,-116.8922222,Superficial,Impacto mínimo,1.5,0.006944444,0.229166667
2017,32.4223,-116.8916667,Superficial,Impacto mínimo,60,0.010416667,0.208333333
2017,32.322019,-116.89,Superficial,Impacto mínimo,100,0.666666667,2
2018,32.417814,-116.8868778,Superficial,Impacto mínimo,65.02,0.104166667,1.208333333
2015,32.421528,-116.8819444,Superficial,Impacto mínimo,38,0.005555556,0.118055556
2016,32.193167,-116.8816944,Superficial,Impacto mínimo,10,0.013888889,0.263888889
2017,32.398436,-116.8748333,Superficial,Impacto moderado,4660,0.048611111,4.072916667
2020,32.066789,-116.8636889,Superficial,Impacto mínimo,90.6,0.010416667,0.892361111
2017,32.31975,-116.8633056,Superficial,Impacto mínimo,51,0.041666667,2.847222222
2017,32.31975,-116.8633056,Superficial,Impacto mínimo,2,0.003472222,0.1375
2017,32.106725,-116.8583333,Superficial,Impacto mínimo,8,0.013888889,0.208333333
2019,32.317467,-116.8556444,Superficial,Impacto moderado,26.8,0.006944444,1.118055556
2017,32.534556,-116.8556111,Superficial,Impacto mínimo,70,0.010416667,0.333333333
2016,31.553661,-116.8525,Superficial,Impacto mínimo,1.5,0.006944444,0.15625
2019,32.110556,-116.8429556,Superficial,Impacto moderado,672.22,0.013888889,3.967361111
2017,32.101333,-116.8335833,Superficial,Impacto mínimo,2,0.013888889,0.097222222
2017,32.549125,-116.8305,Superficial,Impacto mínimo,80,0.208333333,1.222222222
2020,32.001925,-116.8300889,Superficial,Impacto mínimo,1.79,0.008333333,0.128472222
2019,32.002017,-116.8278333,Superficial,Impacto moderado,78.21,0.013888889,1
2017,32.514722,-116.8275,Superficial,Impacto mínimo,51,0.003472222,0.922916667
2016,32.518869,-116.8233889,Superficial,Impacto mínimo,5,0.0125,0.145833333
2017,32.081444,-116.8213889,Superficial,Impacto mínimo,9,0.041666667,0.979166667
2017,32.081444,-116.8213889,Superficial,Impacto mínimo,1,0.013888889,0.125
2018,32.449158,-116.8172,Superficial,Impacto mínimo,3.75,0.013888889,0.125
2015,32.557472,-116.8163889,Superficial,Impacto mínimo,21,0.003472222,1.013888889
2020,32.533081,-116.8129194,Superficial,Impacto mínimo,2069.96,0.010416667,1.479166667
2018,32.445711,-116.8117556,Superficial,Impacto mínimo,12.34,0.010416667,0.125
2017,32.500944,-116.8033333,Superficial,Impacto mínimo,314,0.023611111,2
