semana,numero_de_horas
1,53.30
2,52.10
3,48.00
4,51.20
5,49.00
6,37.80
7,48.50
8,53.50
9,37.20
10,47.30
11,49.90
12,43.50
13,46.40
14,49.80
15,50.10
16,42.40
17,43.70
18,38.20
19,49.10
20,46.10
21,37.10
22,48.80
23,52.10
24,36.10
25,47.70
26,49.20
27,52.70
28,40.00
29,44.50
30,47.60
31,54.90
32,49.20
33,48.70
34,35.60
35,38.70
36,49.30
37,51.40
38,39.30
39,38.90
40,38.90
41,39.90
42,55.30
43,40.60
44,36.40
45,45.30
46,42.50
47,52.90
48,41.80
49,38.50
50,54.60
51,52.10
52,33
